time,station,cglo,cglo_flag,dd,dd_flag,ddx,ddx_flag,ff,ff_flag,ffx,ffx_flag,p,p_flag,pred,pred_flag,rf,rf_flag,rr,rr_flag,rrm,rrm_flag,sh,sh_flag,so_h,so_h_flag,tb10,tb100,tb100_flag,tb10_flag,tb20,tb200,tb200_flag,tb20_flag,tb50,tb50_flag,tl,tl_flag,tsmin,tsmin_flag,zeitx,zeitx_flag
2008-01-01T00:00+00:00,5805,,,331.0,10.0,326.0,10.0,2.2,10.0,3.8,10.0,997.8,10.0,,,89,10,0.0,10,8.0,10,,,0.0,10,0.0,,,10.0,0.6,,,10.0,2.4,10.0,0.9,10,-0.1,10.0,23.0,10.0
2008-01-01T01:00+00:00,5805,,,322.0,10.0,311.0,10.0,2.6,10.0,4.9,10.0,997.8,10.0,,,90,10,0.2,10,52.0,10,,,0.0,10,0.0,,,10.0,0.7,,,10.0,2.4,10.0,0.7,10,0.0,10.0,144.0,10.0
2008-01-01T02:00+00:00,5805,,,328.0,10.0,310.0,10.0,1.8,10.0,4.8,10.0,997.6,10.0,,,92,10,0.4,10,58.0,10,,,0.0,10,0.0,,,10.0,0.7,,,10.0,2.4,10.0,0.5,10,0.0,10.0,212.0,10.0
2008-01-01T03:00+00:00,5805,,,347.0,10.0,340.0,10.0,1.2,10.0,4.3,10.0,997.3,10.0,,,92,10,0.8,10,59.0,10,,,0.0,10,0.0,,,10.0,0.7,,,10.0,2.4,10.0,0.4,10,0.0,10.0,358.0,10.0
2008-01-01T04:00+00:00,5805,,,332.0,10.0,346.0,10.0,1.6,10.0,4.0,10.0,997.0,10.0,,,92,10,0.2,10,47.0,10,,,0.0,10,0.0,,,10.0,0.7,,,10.0,2.4,10.0,0.3,10,0.0,10.0,500.0,10.0
2008-01-01T05:00+00:00,5805,,,327.0,10.0,338.0,10.0,1.1,10.0,3.8,10.0,996.9,10.0,,,92,10,0.2,10,43.0,10,,,0.0,10,0.0,,,10.0,0.7,,,10.0,2.4,10.0,0.3,10,0.0,10.0,540.0,10.0
2008-01-01T06:00+00:00,5805,,,329.0,10.0,325.0,10.0,1.6,10.0,4.6,10.0,997.0,10.0,,,92,10,0.0,10,26.0,10,,,0.0,10,0.0,,,10.0,0.7,,,10.0,2.4,10.0,0.4,10,0.0,10.0,617.0,10.0
2008-01-01T07:00+00:00,5805,,,323.0,10.0,331.0,10.0,1.6,10.0,4.2,10.0,997.0,10.0,,,92,10,0.0,10,27.0,10,,,0.0,10,0.0,,,10.0,0.7,,,10.0,2.4,10.0,0.4,10,0.0,10.0,707.0,10.0
2008-01-01T08:00+00:00,5805,,,342.0,10.0,331.0,10.0,1.2,10.0,3.8,10.0,997.1,10.0,,,92,10,0.0,10,22.0,10,,,0.0,10,0.0,,,10.0,0.7,,,10.0,2.4,10.0,0.4,10,0.0,10.0,827.0,10.0
2008-01-01T09:00+00:00,5805,,,335.0,10.0,3.0,10.0,1.3,10.0,3.7,10.0,997.5,10.0,,,92,10,0.0,10,3.0,10,,,0.0,10,0.0,,,10.0,0.7,,,10.0,2.4,10.0,0.7,10,0.0,10.0,904.0,10.0
