Parameterkürzel,Kurzbeschreibung,Beschreibung,Einheit,Codelist
rf_iii_flag,Qualitätsflag für Relative Feuchte zum Beobachtungstermin III,"Qualitätsflag für Relative Feuchte zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
rf_mittel,Relative Feuchte Mittelwert,"Relative Feuchte, Tagesmittel aus den Beobachtungsterminen I,II,III (06,13,18 UTC)",%,
rf_mittel_flag,Qualitätsflag für Relative Feuchte Mittelwert,"Qualitätsflag für Relative Feuchte, Tagesmittel aus den Beobachtungsterminen I,II,III (06,13,18 UTC)",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
rr,Niederschlag 24h Summe,"Niederschlag, 24-Stundensumme der Einminutenwerte von 06:01 UTC bis 06:00 UTC des Folgetags, -1=kein Niederschlag, 0=weniger als 1/10 mm",mm,
rra_manu,Niederschlagsart 24h,"Niederschlagsart, 24 Stunden, von 06:01 UTC bis 06:00 UTC des Folgetags",code,"[{'key': 0, 'value': 'kein Niederschlag'}, {'key': 1, 'value': 'Regen'}, {'key': 10, 'value': 'Regen und Schnee und Graupel'}, {'key': 11, 'value': 'Regen und Graupel und Hagel'}, {'key': 12, 'value': 'Schnee und Hagel'}, {'key': 13, 'value': 'Regen und Schnee und Hagel'}, {'key': 14, 'value': 'Schnee und Graupel und Hagel'}, {'key': 15, 'value': 'Regen und Schnee und Graupel und Hagel'}, {'key': 2, 'value': 'Schnee'}, {'key': 3, 'value': 'Graupel'}, {'key': 4, 'value': 'Hagel'}, {'key': 5, 'value': 'Regen und Schnee'}, {'key': 6, 'value': 'Regen und Graupel'}, {'key': 7, 'value': 'Regen und Hagel'}, {'key': 8, 'value': 'Schnee und Graupel'}, {'key': 9, 'value': 'Graupel und Hagel'}, {'key': 99, 'value': 'keine Angabe'}]"
rra_manu_flag,Qualitätsflag für Niederschlagsart 24h,"Qualitätsflag für Niederschlagsart, 24 Stunden, von 06:01 UTC bis 06:00 UTC des Folgetags",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
rra_manu_i,Niederschlagsart 12h zum Beobachtungstermin I,"Niederschlagsart, 12 Stunden, von 18:01 UTC Vortag bis 06:00 UTC",code,"[{'key': 0, 'value': 'kein Niederschlag'}, {'key': 1, 'value': 'Regen'}, {'key': 10, 'value': 'Regen und Schnee und Graupel'}, {'key': 11, 'value': 'Regen und Graupel und Hagel'}, {'key': 12, 'value': 'Schnee und Hagel'}, {'key': 13, 'value': 'Regen und Schnee und Hagel'}, {'key': 14, 'value': 'Schnee und Graupel und Hagel'}, {'key': 15, 'value': 'Regen und Schnee und Graupel und Hagel'}, {'key': 2, 'value': 'Schnee'}, {'key': 3, 'value': 'Graupel'}, {'key': 4, 'value': 'Hagel'}, {'key': 5, 'value': 'Regen und Schnee'}, {'key': 6, 'value': 'Regen und Graupel'}, {'key': 7, 'value': 'Regen und Hagel'}, {'key': 8, 'value': 'Schnee und Graupel'}, {'key': 9, 'value': 'Graupel und Hagel'}, {'key': 99, 'value': 'keine Angabe'}]"
rra_manu_i_flag,Qualitätsflag für Niederschlagsart 12h zum Beobachtungstermin I,"Qualitätsflag für Niederschlagsart, 12 Stunden, von 18:01 UTC Vortag bis 06:00 UTC",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
rra_manu_iii,Niederschlagsart 12h zum Beobachtungstermin III,"Niederschlagsart, 12 Stunden von 06:01 UTC bis 18:00 UTC",code,"[{'key': 0, 'value': 'kein Niederschlag'}, {'key': 1, 'value': 'Regen'}, {'key': 10, 'value': 'Regen und Schnee und Graupel'}, {'key': 11, 'value': 'Regen und Graupel und Hagel'}, {'key': 12, 'value': 'Schnee und Hagel'}, {'key': 13, 'value': 'Regen und Schnee und Hagel'}, {'key': 14, 'value': 'Schnee und Graupel und Hagel'}, {'key': 15, 'value': 'Regen und Schnee und Graupel und Hagel'}, {'key': 2, 'value': 'Schnee'}, {'key': 3, 'value': 'Graupel'}, {'key': 4, 'value': 'Hagel'}, {'key': 5, 'value': 'Regen und Schnee'}, {'key': 6, 'value': 'Regen und Graupel'}, {'key': 7, 'value': 'Regen und Hagel'}, {'key': 8, 'value': 'Schnee und Graupel'}, {'key': 9, 'value': 'Graupel und Hagel'}, {'key': 99, 'value': 'keine Angabe'}]"
rra_manu_iii_flag,Qualitätsflag für Niederschlagsart 12h zum Beobachtungstermin III,"Qualitätsflag für Niederschlagsart, 12 Stunden von 06:01 UTC bis 18:00 UTC",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
rr_flag,Qualitätsflag für Niederschlag 24h Summe,"Qualitätsflag für Niederschlag, 24-Stundensumme der Einminutenwerte von 06:01 UTC bis 06:00 UTC des Folgetags, -1=kein Niederschlag, 0=weniger als 1/10 mm",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
rr_i,Niederschlag 12h Summe zum Beobachtungstermin I,"Niederschlag, 12-Stundensumme der Einminutenwerte von 18:01 UTC Vortag bis 06:00 UTC, -1=kein Niederschlag, 0=weniger als 1/10 mm",mm,
rr_i_flag,Qualitätsflag für Niederschlag 12h Summe zum Beobachtungstermin I,"Qualitätsflag für Niederschlag, 12-Stundensumme der Einminutenwerte von 18:01 UTC Vortag bis 06:00 UTC, -1=kein Niederschlag, 0=weniger als 1/10 mm",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
rr_iii,Niederschlag 12h Summe zum Beobachtungstermin III,"Niederschlag, 12-Stundensumme der Einminutenwerte von 06:01 UTC bis 18:00 UTC, -1=kein Niederschlag, 0=weniger als 1/10 mm",mm,
rr_iii_flag,Qualitätsflag für Niederschlag 12h Summe zum Beobachtungstermin III,"Qualitätsflag für Niederschlag, 12-Stundensumme der Einminutenwerte von 06:01 UTC bis 18:00 UTC, -1=kein Niederschlag, 0=weniger als 1/10 mm",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
sh,"Gesamtschneehöhe, Schneepegelmessung","Gesamtschneehöhe, aus automatischer Schneepegelmessung, Offset korrigiert, zum Beobachtungstermin I (06 UTC), -1=kein Schnee",cm,
sha_manu,Schneeart,"Schneeart, aus Erdbodenzustand berechnet zum Beobachtungstermin I (06:00 UTC)",code,"[{'key': 0, 'value': 'kein Schnee'}, {'key': 1, 'value': 'Schneeflecken'}, {'key': 2, 'value': 'durchbrochene Schneedecke'}, {'key': 3, 'value': 'durchgängige Schneedecke'}, {'key': 9, 'value': 'keine Angabe'}]"
sha_manu_flag,Qualitätsflag für Schneeart,"Qualitätsflag für Schneeart, aus Erdbodenzustand berechnet zum Beobachtungstermin I (06:00 UTC)",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
sh_flag,"Qualitätsflag für Gesamtschneehöhe, Schneepegelmessung","Qualitätsflag für Gesamtschneehöhe, aus automatischer Schneepegelmessung, Offset korrigiert, zum Beobachtungstermin I (06 UTC), -1=kein Schnee",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
sh_manu,"Gesamtschneehöhe, Handmessung","Gesamtschneehöhe, Handmessung zum Beobachtungstermin I (06 UTC), -1=kein Schnee",cm,
sh_manu_flag,"Qualitätsflag für Gesamtschneehöhe, Handmessung","Qualitätsflag für Gesamtschneehöhe, Handmessung zum Beobachtungstermin I (06 UTC), -1=kein Schnee",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
shneu_manu,"Neuschneehöhe, Handmessung","Neuschneehöhe, 24-Stundensumme, Handmessung zum Beobachtungstermin I (06 UTC), -1=kein Schnee",cm,
shneu_manu_flag,"Qualitätsflag für Neuschneehöhe, Handmessung","Qualitätsflag für Neuschneehöhe, 24-Stundensumme, Handmessung zum Beobachtungstermin I (06 UTC), -1=kein Schnee",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
sicht_i,Sichtweite zum Beobachtungstermin I,Sichtweite zum Beobachtungstermin I (06 UTC),m,
sicht_i_flag,Qualitätsflag für Sichtweite zum Beobachtungstermin I,Qualitätsflag für Sichtweite zum Beobachtungstermin I (06 UTC),code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
sicht_ii,Sichtweite zum Beobachtungstermin II,Sichtweite zum Beobachtungstermin II (13 UTC),m,
sicht_ii_flag,Qualitätsflag für Sichtweite zum Beobachtungstermin II,Qualitätsflag für Sichtweite zum Beobachtungstermin II (13 UTC),code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
sicht_iii,Sichtweite zum Beobachtungstermin III,"Sichtweite zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",m,
sicht_iii_flag,Qualitätsflag für Sichtweite zum Beobachtungstermin III,"Qualitätsflag für Sichtweite zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
so_h,Sonnenscheindauer,"Sonnenscheindauer, Summe aus den Stundenwerten 0-24 Uhr MOZ (23 Vortag - 23 Tag UTC)",h,
so_h_flag,Qualitätsflag für Sonnenscheindauer,"Qualitätsflag für Sonnenscheindauer, Summe aus den Stundenwerten 0-24 Uhr MOZ (23 Vortag - 23 Tag UTC)",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
tau,Tau Indikator,Beobachtung von Tau,bool,"[{'key': 0, 'value': 'nein'}, {'key': 1, 'value': 'ja'}]"
tau_flag,Qualitätsflag für Tau Indikator,Qualitätsflag für Beobachtung von Tau,code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
tl_i,Lufttemperatur 2m zum Beobachtungstermin I,Lufttemperatur in 2m Höhe zum Beobachtungstermin I (06 UTC),°C,
tl_i_flag,Qualitätsflag für Lufttemperatur 2m zum Beobachtungstermin I,Qualitätsflag für Lufttemperatur in 2m Höhe zum Beobachtungstermin I (06 UTC),code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
tl_ii,Lufttemperatur 2m zum Beobachtungstermin II,Lufttemperatur in 2m Höhe zum Beobachtungstermin II (13 UTC),°C,
tl_ii_flag,Qualitätsflag für Lufttemperatur 2m zum Beobachtungstermin II,Qualitätsflag für Lufttemperatur in 2m Höhe zum Beobachtungstermin II (13 UTC),code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
tl_iii,Lufttemperatur 2m zum Beobachtungstermin III,"Lufttemperatur in 2m Höhe zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",°C,
tl_iii_flag,Qualitätsflag für Lufttemperatur 2m zum Beobachtungstermin III,"Qualitätsflag für Lufttemperatur in 2m Höhe zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
tlmax,Lufttemperatur 2m Maximalwert,"Lufttemperatur in 2m Höhe, Maximum der Zehnminutenwerte (tlmax) von 18:10 UTC Vortag - 18:00 UTC aktueller Tag",°C,
tlmax_flag,Qualitätsflag für Lufttemperatur 2m Maximalwert,"Qualitätsflag für Lufttemperatur in 2m Höhe, Maximum der Zehnminutenwerte (tlmax) von 18:10 UTC Vortag - 18:00 UTC aktueller Tag",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
tlmin,Lufttemperatur 2m Minimalwert,"Lufttemperatur in 2m Höhe, Minimum der Zehnminutenwerte (tlmin) von 18:10 UTC Vortag - 18:00 UTC aktueller Tag",°C,
tlmin_flag,Qualitätsflag für Lufttemperatur 2m Minimalwert,"Qualitätsflag für Lufttemperatur in 2m Höhe, Minimum der Zehnminutenwerte (tlmin) von 18:10 UTC Vortag - 18:00 UTC aktueller Tag",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
tl_mittel,Lufttemperatur 2m Mittelwert,"Lufttemperatur in 2m Höhe, Mittelwert berechnet aus (tlmax + tlmin)/2",°C,
tl_mittel_flag,Qualitätsflag für Lufttemperatur 2m Mittelwert,"Qualitätsflag für Lufttemperatur in 2m Höhe, Mittelwert berechnet aus (tlmax + tlmin)/2",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
tsmin,Lufttemperatur 5cm Nachtminimum (18 UTC Vortag bis 6 UTC),"Lufttemperatur in 5cm Höhe,  Minimalwert in der Nacht: 18:10 UTC Vortag  - 06:00 UTC aktueller Tag",°C,
tsmin_flag,Qualitätsflag für Lufttemperatur 5cm Nachtminimum (18 UTC Vortag bis 6 UTC),"Qualitätsflag für Lufttemperatur in 5cm Höhe,  Minimalwert in der Nacht: 18:10 UTC Vortag  - 06:00 UTC aktueller Tag",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
vvbft_i,Windstärke zum Beobachtungstermin I,"Windstärke in Beaufort, aus dem Stundenwert zum Beobachtungstermin I (06 UTC)",Beaufort,
vvbft_i_flag,Qualitätsflag für Windstärke zum Beobachtungstermin I,"Qualitätsflag für Windstärke in Beaufort, aus dem Stundenwert zum Beobachtungstermin I (06 UTC)",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
vvbft_ii,Windstärke zum Beobachtungstermin II,"Windstärke in Beaufort, aus dem Stundenwert zum Beobachtungstermin II (13 UTC)",Beaufort,
vvbft_ii_flag,Qualitätsflag für Windstärke zum Beobachtungstermin II,"Qualitätsflag für Windstärke in Beaufort, aus dem Stundenwert zum Beobachtungstermin II (13 UTC)",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
vvbft_iii,Windstärke zum Beobachtungstermin III,"Windstärke in Beaufort, aus dem Stundenwert zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",Beaufort,
vvbft_iii_flag,Qualitätsflag für Windstärke zum Beobachtungstermin III,"Qualitätsflag für Windstärke in Beaufort, aus dem Stundenwert zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
vv_mittel,Windgeschwindigkeit Mittelwert,"Windgeschwindigkeit, Tagesmittel aus den Beobachtungsterminen I,II,III (06,13,18 UTC)",m/s,
vv_mittel_flag,Qualitätsflag für Windgeschwindigkeit Mittelwert,"Qualitätsflag für Windgeschwindigkeit, Tagesmittel aus den Beobachtungsterminen I,II,III (06,13,18 UTC)",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
zeitx,Zeitpunkt der maximalen Windgeschwindigkeit (Spitzenböe),"Zeitpunkt der maximalen Windgeschwindigkeit, aus den Stundenwerten 0-24 Uhr MOZ (23 UTC Vortag - 23 Tag UTC)",hhmm,
zeitx_flag,Qualitätsflag für Zeitpunkt der maximalen Windgeschwindigkeit (Spitzenböe),"Qualitätsflag für Zeitpunkt der maximalen Windgeschwindigkeit, aus den Stundenwerten 0-24 Uhr MOZ (23 UTC Vortag - 23 Tag UTC)",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
