id,Synopstationsnummer,Stationsname,Länge [°E],Breite [°N],Höhe [m],Startdatum,Enddatum,Bundesland,Sonnenschein,Globalstrahlung,Synop,Verknüpfungsnummer,Startdatum Teilzeitreihe,Enddatum Teilzeitreihe,zusammengesetzt
710,,Schönfeld,15.416667,48.783333,585.0,1956-01-01 00:00:00+00:00,1981-12-31 00:00:00+00:00,Niederösterreich,True,False,,,,,nein
726,11047,Raabs an der Thaya,15.50194,48.84806,458.5,2008-06-25 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
900,,Retz,15.95,48.76667,242.0,1946-01-01 00:00:00+00:00,1983-10-31 00:00:00+00:00,Niederösterreich,True,True,,81,1946-01-01 00:00:00+00:00,1983-10-31 23:59:59+00:00,nein
901,,Retz,15.95,48.75361,256.0,1983-11-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,81,1983-11-01 00:00:00+00:00,1993-12-31 23:59:59+00:00,nein
905,11022,Retz,15.94167,48.76111,320.0,1994-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,81,1994-01-01 00:00:00+00:00,,nein
910,,Unterretzbach,15.998611,48.768333,243.0,1994-01-01 00:00:00+00:00,2007-12-31 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
1000,,Alt-Prerau,16.466667,48.799999,184.0,1935-07-08 00:00:00+00:00,1938-10-25 00:00:00+00:00,Niederösterreich,True,False,,,,,nein
1210,,Passau-Oberhaus,13.483334,48.583332,409.0,1961-01-01 00:00:00+00:00,1991-11-30 00:00:00+00:00,Oberösterreich,True,False,,,,,nein
1400,,Kollerschlag,13.84,48.60639,725.0,1895-07-01 00:00:00+00:00,2008-06-30 00:00:00+00:00,Oberösterreich,False,False,,157,1895-07-01 00:00:00+00:00,2008-06-16 23:59:59+00:00,nein
1401,11007,Kollerschlag,13.83917,48.60278,714.0,2008-06-17 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,157,2008-06-17 00:00:00+00:00,,nein
1410,,Rohrbach,14.0,48.56667,602.0,1948-05-23 00:00:00+00:00,1994-11-30 00:00:00+00:00,Oberösterreich,True,False,,77,1948-05-23 00:00:00+00:00,1994-07-31 23:59:59+00:00,nein
1415,11008,Rohrbach,13.99406,48.56961,596.9,1994-07-01 00:00:00+00:00,2021-10-31 00:00:00+00:00,Oberösterreich,True,True,,77,1994-08-01 00:00:00+00:00,2021-10-14 23:59:59+00:00,nein
1416,11008,Rohrbach,14.00444,48.56722,613.0,2021-10-13 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,77,2021-10-15 00:00:00+00:00,,nein
1420,,Schlägel,13.968889,48.636391,543.0,1969-12-16 00:00:00+00:00,1979-12-31 00:00:00+00:00,Oberösterreich,True,False,,,,,nein
1600,,Freistadt,14.5,48.516666,548.0,1895-07-01 00:00:00+00:00,1991-12-31 00:00:00+00:00,Oberösterreich,True,False,,26,1895-07-01 00:00:00+00:00,1991-12-31 23:59:59+00:00,nein
1601,11015,Freistadt,14.506111,48.506111,549.0,1991-12-01 00:00:00+00:00,2014-08-04 00:00:00+00:00,Oberösterreich,True,True,,26,1992-01-01 00:00:00+00:00,2014-06-30 23:59:59+00:00,nein
1602,11068,Freistadt,14.50639,48.49472,539.0,2014-03-31 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,26,2014-07-01 00:00:00+00:00,,nein
1700,,Karlstift,14.75,48.599998,934.0,1971-01-01 00:00:00+00:00,1990-05-31 00:00:00+00:00,Niederösterreich,False,False,,219,1971-01-01 00:00:00+00:00,1990-05-31 23:59:59+00:00,nein
1701,,Karlstift/Stadlberg,14.720555,48.598331,946.0,1990-08-01 00:00:00+00:00,1991-03-31 00:00:00+00:00,Niederösterreich,False,False,,219,1990-08-01 00:00:00+00:00,1991-03-31 23:59:59+00:00,nein
1710,11065,Liebenau,14.805278,48.532776,998.0,1992-10-01 00:00:00+00:00,1994-04-30 00:00:00+00:00,Oberösterreich,True,True,,,,,nein
1711,8989106,Liebenau-Gugu,14.732778,48.5522,846.0,2023-03-31 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,False,False,,,,,nein
1730,8989083,Schwarzau im Freiwald,14.739445,48.668056,788.0,2022-10-07 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
1800,,Weitra,14.89889,48.69806,580.0,1936-01-01 00:00:00+00:00,2006-03-31 00:00:00+00:00,Niederösterreich,True,False,,148,1936-01-01 00:00:00+00:00,2004-12-31 23:59:59+00:00,nein
1802,11025,Weitra,14.89861,48.70222,571.9,2003-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,148,2005-01-01 00:00:00+00:00,,nein
1900,,Schwarzenau,15.266389,48.746666,500.0,1974-08-01 00:00:00+00:00,1999-08-31 00:00:00+00:00,Niederösterreich,True,False,,123,1974-08-01 00:00:00+00:00,1999-08-31 23:59:59+00:00,nein
1901,,Schwarzenau,15.258611,48.74361,504.0,1999-09-01 00:00:00+00:00,2002-03-31 00:00:00+00:00,Niederösterreich,False,False,,123,1999-09-01 00:00:00+00:00,2002-03-31 23:59:59+00:00,nein
1903,,Schwarzenau,15.257778,48.742779,499.0,2002-08-01 00:00:00+00:00,2004-03-31 00:00:00+00:00,Niederösterreich,False,False,,123,2002-08-01 00:00:00+00:00,2004-03-31 23:59:59+00:00,nein
1905,,Allentsteig Kaufholz,15.366667,48.683334,596.0,1983-10-01 00:00:00+00:00,1992-09-30 00:00:00+00:00,Niederösterreich,False,False,,3,1983-10-01 00:00:00+00:00,1992-09-30 23:59:59+00:00,nein
1906,11019,Allentsteig,15.36694,48.69083,598.8,1992-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,3,1992-10-01 00:00:00+00:00,,nein
1910,,Stift Zwettl,15.19999,48.61667,506.0,1931-01-01 00:00:00+00:00,1994-07-31 00:00:00+00:00,Niederösterreich,True,False,,89,1931-01-01 00:00:00+00:00,1994-07-31 23:59:59+00:00,nein
1920,11020,Stift Zwettl,15.20361,48.61778,502.4,1994-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,89,1994-08-01 00:00:00+00:00,,nein
2100,,Altenburg,15.6,48.650002,387.0,1981-01-01 00:00:00+00:00,1982-12-31 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
2110,,Horn,15.65,48.666668,315.0,1936-01-01 00:00:00+00:00,1983-08-01 00:00:00+00:00,Niederösterreich,False,False,,199,1936-01-01 00:00:00+00:00,1983-07-31 23:59:59+00:00,nein
2112,,Mörtersdorf,15.716666,48.616665,320.0,1983-10-01 00:00:00+00:00,1989-11-30 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
2113,,Horn,15.662778,48.669445,305.0,1990-01-01 00:00:00+00:00,1994-02-28 00:00:00+00:00,Niederösterreich,False,False,,199,1990-01-01 00:00:00+00:00,1994-02-28 23:59:59+00:00,nein
2114,11388,Horn,15.65361,48.67056,318.4,2007-07-01 00:00:00+00:00,2020-10-05 00:00:00+00:00,Niederösterreich,True,True,,199,2007-07-01 00:00:00+00:00,2019-12-31 23:59:59+00:00,nein
2115,11023,Gars am Kamp,15.66778,48.59556,267.0,1999-03-10 00:00:00+00:00,2016-05-18 00:00:00+00:00,Niederösterreich,True,True,,215,1999-03-10 00:00:00+00:00,2016-05-18 23:59:59+00:00,nein
2116,11064,Gars am Kamp,15.7,48.59194,273.0,2016-05-20 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,215,2016-05-20 00:00:00+00:00,,nein
